PI_time,PI_timer,PI_list[],Td,Tr,Tf,PI_Offset_temp,PI_average_offset,PI_Result,PI_offset_sum,PI_P_value,PI_I_value,cStopUp,cStopDown,time,
0,500,20,250.000000,226.000000,279.000000,20,20,-24.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.500000,279.000000,20,20,-24.000000,800,60,40,0,1,0,
0,500,20,250.000000,225.500000,279.000000,20,20,-24.000000,800,60,40,0,1,0,
0,500,20,250.000000,225.500000,279.000000,20,20,-24.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,279.000000,20,20,-24.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,280.000000,20,20,-24.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,280.000000,20,20,-24.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,279.000000,20,20,-23.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,279.000000,20,20,-24.000000,800,60,40,0,1,0,
0,500,20,250.000000,225.500000,279.000000,20,20,-24.000000,800,60,40,0,1,0,
0,500,20,250.000000,225.500000,278.000000,20,20,-24.000000,800,60,40,0,1,0,
0,500,20,250.000000,225.500000,279.000000,20,20,-24.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,279.000000,20,20,-24.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.500000,281.000000,20,20,-23.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,282.000000,20,20,-22.000000,800,60,40,0,1,0,
0,500,20,250.000000,225.500000,282.000000,20,20,-23.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.500000,282.000000,20,20,-22.000000,800,60,40,0,1,0,
0,500,20,250.000000,225.500000,283.000000,20,20,-22.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,284.000000,20,20,-22.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.500000,284.000000,20,20,-22.000000,800,60,40,0,1,0,
0,500,20,250.000000,225.500000,284.000000,20,20,-22.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,284.000000,20,20,-22.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,284.000000,20,20,-22.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,284.000000,20,20,-21.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,284.000000,20,20,-22.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,284.000000,20,20,-22.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,284.000000,20,20,-22.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,284.000000,20,20,-22.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,284.000000,20,20,-21.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.500000,284.000000,20,20,-21.000000,800,60,40,0,1,0,
